Numéro	URL	Code_HTTP	Encodage	Nb_mots
	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	    5668
	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    1157
	fr.wikipedia.org/wiki/Robot_d%27indexation	301	non présent	    1756
	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    2577
	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	    1163
	http://roboty.magistry.fr	301	non présent	       0
	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	UTF-8	     440
	https://fr.wiktionary.org/wiki/robot	429	utf-8	    4791
	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	429	utf-8	    1133
	https://fr.wikipedia.org/wiki/Robotique	200	utf-8	   13011
